Matchday;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HC;AC;HF;AF;HY;AY;HR;AR
7;220917;Lille;Monaco;0;4;A;0;2;A;11;12;2;7;1;1;18;14;1;2;0;0
7;220917;Nice;Angers;2;2;D;1;2;A;17;15;3;6;8;1;13;18;4;2;0;0
7;230917;Bordeaux;Guingamp;3;1;H;1;0;H;21;10;8;4;5;2;14;14;4;2;0;0
7;230917;Caen;Amiens;1;0;H;0;0;D;17;2;4;0;7;3;14;19;1;2;0;0
7;230917;Lyon;Dijon;3;3;D;1;1;D;20;11;6;6;8;1;17;19;1;5;0;0
7;230917;Metz;Troyes;0;1;A;0;0;D;15;9;7;2;5;4;11;12;3;3;0;1
7;230917;Montpellier;Paris SG;0;0;D;0;0;D;5;10;2;1;2;11;15;13;2;2;0;0
7;240917;Marseille;Toulouse;2;0;H;1;0;H;22;8;6;1;12;5;11;10;2;0;0;0
7;240917;St Etienne;Rennes;2;2;D;1;1;D;9;9;4;4;9;5;11;14;3;3;1;0
7;240917;Strasbourg;Nantes;1;2;A;1;2;A;21;12;6;5;12;3;7;5;1;1;0;0
8;290917;Monaco;Montpellier;1;1;D;1;0;H;8;15;1;3;3;4;19;12;3;1;0;0
8;300917;Dijon;Strasbourg;1;1;D;0;0;D;13;7;6;1;7;4;10;17;0;2;1;0
8;300917;Guingamp;Toulouse;1;1;D;1;1;D;6;11;4;2;6;4;17;18;1;2;0;0
8;300917;Nantes;Metz;1;0;H;1;0;H;15;9;6;1;4;4;14;9;2;4;0;1
8;300917;Paris SG;Bordeaux;6;2;H;5;1;H;11;17;9;6;1;5;10;18;1;2;0;0
8;300917;Rennes;Caen;0;1;A;0;1;A;9;10;2;3;8;3;14;25;4;1;0;0
8;011017;Angers;Lyon;3;3;D;1;3;A;15;13;4;6;9;4;12;14;2;3;0;1
8;011017;Nice;Marseille;2;4;A;2;3;A;19;17;10;9;9;5;14;16;2;3;0;1
8;011017;Troyes;St Etienne;2;1;H;1;0;H;11;14;7;4;5;8;7;17;3;1;1;1
9;131017;Lyon;Monaco;3;2;H;2;2;D;22;14;7;7;7;5;9;15;4;1;0;0
9;141017;Caen;Angers;0;2;A;0;0;D;22;12;5;4;4;4;12;18;1;4;0;0
9;141017;Dijon;Paris SG;1;2;A;0;0;D;15;18;5;8;5;9;10;13;3;4;0;0
9;141017;Guingamp;Rennes;2;0;H;0;0;D;16;11;9;0;6;5;19;15;3;6;0;1
9;141017;Lille;Troyes;2;2;D;1;1;D;16;10;6;2;3;1;16;12;1;2;1;0
9;141017;St Etienne;Metz;3;1;H;0;1;A;20;10;5;2;12;5;10;16;2;1;0;0
9;141017;Toulouse;Amiens;1;0;H;1;0;H;16;7;6;2;3;0;14;21;1;5;0;1
9;151017;Bordeaux;Nantes;1;1;D;0;1;A;18;14;3;4;6;2;13;15;3;2;0;0
9;151017;Montpellier;Nice;2;0;H;0;0;D;14;15;4;8;4;7;14;15;3;1;0;0
9;151017;Strasbourg;Marseille;3;3;D;1;1;D;19;20;9;7;4;4;14;9;3;3;0;0
10;201017;St Etienne;Montpellier;0;1;A;0;1;A;21;15;4;4;6;2;25;17;2;3;0;0
10;211017;Amiens;Bordeaux;1;0;H;0;0;D;13;14;4;4;4;3;12;13;3;1;0;0
10;211017;Angers;Toulouse;0;1;A;0;1;A;14;3;4;1;4;2;11;16;2;4;0;0
10;211017;Metz;Dijon;1;2;A;1;1;D;15;8;5;6;2;5;11;15;1;2;1;0
10;211017;Monaco;Caen;2;0;H;1;0;H;15;8;6;1;7;7;12;17;3;2;0;0
10;211017;Nantes;Guingamp;2;1;H;1;0;H;9;10;3;4;3;6;13;12;3;1;0;0
10;211017;Rennes;Lille;1;0;H;1;0;H;9;7;6;1;2;6;13;17;1;2;0;1
10;221017;Marseille;Paris SG;2;2;D;1;1;D;11;7;3;3;3;4;18;14;4;3;0;1
10;221017;Nice;Strasbourg;1;2;A;0;1;A;14;15;9;6;9;1;5;5;0;1;0;1
10;221017;Troyes;Lyon;0;5;A;0;1;A;9;14;3;10;4;3;12;13;2;2;1;0
11;271017;Paris SG;Nice;3;0;H;2;0;H;16;8;8;1;8;2;10;9;0;0;0;0
11;281017;Bordeaux;Monaco;0;2;A;0;0;D;12;12;4;5;6;2;22;12;2;0;0;0
11;281017;Caen;Troyes;1;0;H;1;0;H;16;8;3;3;6;6;12;13;1;3;0;0
11;281017;Dijon;Nantes;1;0;H;1;0;H;6;10;1;0;1;5;15;19;3;2;0;0
11;281017;Guingamp;Amiens;1;1;D;1;1;D;12;7;4;2;5;5;16;20;1;5;0;1
11;281017;Montpellier;Rennes;0;1;A;0;0;D;9;7;4;2;4;1;15;17;4;2;0;0
11;281017;Strasbourg;Angers;2;2;D;1;0;H;14;5;6;2;4;2;10;12;3;2;0;0
11;291017;Lille;Marseille;0;1;A;0;1;A;18;10;7;3;11;4;18;17;2;3;0;0
11;291017;Lyon;Metz;2;0;H;2;0;H;12;7;4;4;3;2;13;17;0;3;0;0
11;291017;Toulouse;St Etienne;0;0;D;0;0;D;11;4;4;2;7;1;16;19;2;3;0;0
12;031117;Rennes;Bordeaux;1;0;H;1;0;H;6;6;2;0;8;0;14;26;2;5;0;0
12;041117;Angers;Paris SG;0;5;A;0;3;A;9;15;3;7;2;4;8;13;1;3;0;0
12;041117;Monaco;Guingamp;6;0;H;4;0;H;18;12;9;3;4;1;17;9;1;1;0;0
12;041117;Montpellier;Amiens;1;1;D;0;0;D;10;12;3;1;3;2;11;12;2;1;0;0
12;041117;Nantes;Toulouse;2;1;H;1;0;H;11;10;6;3;9;4;20;16;2;4;0;0
12;041117;Troyes;Strasbourg;3;0;H;0;0;D;13;10;6;2;4;1;18;8;3;1;0;1
12;051117;Marseille;Caen;5;0;H;1;0;H;28;11;11;3;13;6;5;9;0;0;0;0
12;051117;Metz;Lille;0;3;A;0;1;A;19;14;5;7;9;0;13;19;3;2;0;0
12;051117;Nice;Dijon;1;0;H;1;0;H;11;13;4;4;6;4;14;9;1;1;1;0
12;051117;St Etienne;Lyon;0;5;A;0;2;A;13;13;2;10;5;1;22;17;1;2;1;0
13;171117;Amiens;Monaco;1;1;D;1;0;H;10;15;2;4;4;4;15;15;2;3;0;0
13;171117;Lille;St Etienne;3;1;H;1;1;D;12;8;5;3;8;10;10;16;2;3;0;0
13;181117;Dijon;Troyes;3;1;H;1;1;D;15;11;8;4;4;4;13;12;1;1;0;0
13;181117;Guingamp;Angers;1;1;D;1;1;D;9;10;2;2;1;7;15;18;4;4;1;0
13;181117;Paris SG;Nantes;4;1;H;2;0;H;23;8;10;1;9;2;9;17;2;3;0;0
13;181117;Strasbourg;Rennes;2;1;H;1;0;H;11;13;5;4;6;7;18;8;1;0;0;1
13;181117;Toulouse;Metz;0;0;D;0;0;D;21;12;3;5;9;4;16;11;2;3;0;1
13;191117;Bordeaux;Marseille;1;1;D;1;0;H;9;14;3;3;3;6;16;14;4;2;0;0
13;191117;Caen;Nice;1;1;D;0;1;A;18;12;4;7;12;3;10;11;2;3;0;0
13;191117;Lyon;Montpellier;0;0;D;0;0;D;15;15;3;2;9;6;11;9;2;1;0;0
8;201117;Amiens;Lille;3;0;H;1;0;H;8;12;4;1;4;6;12;10;3;2;0;0
14;241117;St Etienne;Strasbourg;2;2;D;1;1;D;12;10;6;4;7;4;14;10;4;2;0;0
14;251117;Caen;Bordeaux;1;0;H;1;0;H;12;10;2;2;4;8;13;14;2;3;0;0
14;251117;Dijon;Toulouse;3;1;H;1;0;H;13;12;5;4;6;2;11;16;3;2;0;0
14;251117;Metz;Amiens;0;2;A;0;1;A;21;11;6;2;8;1;17;8;1;0;0;0
14;251117;Montpellier;Lille;3;0;H;3;0;H;18;10;6;4;6;7;13;14;1;6;0;0
14;251117;Rennes;Nantes;2;1;H;0;0;D;15;10;5;1;8;2;17;14;3;6;0;1
14;251117;Troyes;Angers;3;0;H;2;0;H;9;7;3;3;4;3;15;15;2;4;0;0
14;261117;Marseille;Guingamp;1;0;H;1;0;H;21;4;7;1;6;2;11;13;2;2;0;0
14;261117;Monaco;Paris SG;1;2;A;0;1;A;8;18;2;5;1;4;17;13;3;4;0;0
14;261117;Nice;Lyon;0;5;A;0;4;A;10;11;3;7;2;2;19;13;5;3;1;0
15;281117;Amiens;Dijon;2;1;H;1;1;D;8;16;5;6;3;6;5;14;0;3;0;0
15;281117;Bordeaux;St Etienne;3;0;H;2;0;H;12;11;6;5;2;6;12;19;1;2;0;0
15;281117;Strasbourg;Caen;0;0;D;0;0;D;6;15;3;1;2;3;13;13;1;2;0;0
15;291117;Angers;Rennes;1;2;A;1;0;H;10;8;4;3;7;4;9;11;0;1;0;0
15;291117;Guingamp;Montpellier;0;0;D;0;0;D;10;6;1;4;8;3;15;21;1;3;0;0
15;291117;Lyon;Lille;1;2;A;1;2;A;21;7;5;3;4;2;8;13;0;1;0;0
15;291117;Metz;Marseille;0;3;A;0;2;A;9;21;4;8;0;9;13;8;1;0;0;0
15;291117;Nantes;Monaco;1;0;H;0;0;D;16;9;5;1;11;5;9;12;0;0;0;0
15;291117;Paris SG;Troyes;2;0;H;0;0;D;19;6;6;3;11;1;14;16;0;1;0;0
15;291117;Toulouse;Nice;1;2;A;1;0;H;14;8;3;4;6;4;16;12;3;4;1;1
16;011217;Dijon;Bordeaux;3;2;H;1;2;A;17;14;5;6;6;4;15;14;2;2;0;0
16;021217;Lille;Toulouse;1;0;H;0;0;D;10;10;3;3;3;6;17;18;2;3;0;0
16;021217;Monaco;Angers;1;0;H;1;0;H;5;8;3;3;5;3;13;19;3;3;0;0
16;021217;Nice;Metz;3;1;H;1;1;D;15;13;7;5;1;5;10;17;0;2;0;0
16;021217;Rennes;Amiens;2;0;H;0;0;D;25;6;5;2;16;0;10;7;1;5;0;0
16;021217;Strasbourg;Paris SG;2;1;H;1;1;D;5;29;2;5;0;13;20;5;4;3;0;0
16;021217;Troyes;Guingamp;0;1;A;0;1;A;14;11;3;5;5;3;13;9;2;2;1;1
16;031217;Caen;Lyon;1;2;A;0;1;A;19;11;4;4;9;4;18;15;1;3;0;0
16;031217;Montpellier;Marseille;1;1;D;1;1;D;13;6;4;2;1;3;9;23;4;2;0;0
16;031217;St Etienne;Nantes;1;1;D;1;0;H;13;22;4;6;5;9;18;10;4;1;0;0
17;081217;Bordeaux;Strasbourg;0;3;A;0;2;A;12;10;2;4;10;5;14;10;3;1;0;0
17;091217;Angers;Montpellier;1;1;D;0;0;D;13;10;4;6;5;4;15;10;3;2;0;0
17;091217;Guingamp;Dijon;4;0;H;2;0;H;17;8;9;1;18;2;5;7;0;0;0;1
17;091217;Metz;Rennes;1;1;D;1;0;H;13;5;6;4;5;6;14;11;3;3;0;0
17;091217;Monaco;Troyes;3;2;H;0;1;A;19;5;6;3;16;1;14;22;4;5;0;0
17;091217;Paris SG;Lille;3;1;H;1;0;H;14;7;5;2;5;4;14;19;2;2;0;0
17;091217;Toulouse;Caen;2;0;H;0;0;D;10;11;3;3;4;5;15;10;1;2;0;0
17;101217;Amiens;Lyon;1;2;A;1;0;H;14;12;6;3;2;2;11;15;1;2;0;0
17;101217;Marseille;St Etienne;3;0;H;1;0;H;18;5;7;1;7;2;13;10;1;2;0;1
17;101217;Nantes;Nice;1;2;A;1;1;D;22;12;4;5;5;3;13;12;1;4;0;0
18;151217;St Etienne;Monaco;0;4;A;0;2;A;5;22;3;9;4;4;11;11;1;0;1;0
18;161217;Caen;Guingamp;0;0;D;0;0;D;11;8;2;5;5;4;20;13;2;4;0;0
18;161217;Dijon;Lille;3;0;H;3;0;H;13;9;8;5;3;4;14;9;1;1;0;0
18;161217;Montpellier;Metz;1;3;A;1;1;D;9;6;3;4;3;2;10;21;1;2;0;0
18;161217;Rennes;Paris SG;1;4;A;0;2;A;14;21;2;10;4;11;16;10;4;3;1;1
18;161217;Strasbourg;Toulouse;2;1;H;1;1;D;9;11;5;3;5;5;17;15;2;4;0;0
18;161217;Troyes;Amiens;1;0;H;0;0;D;19;11;7;3;9;0;18;14;4;2;0;0
18;171217;Lyon;Marseille;2;0;H;1;0;H;8;19;5;5;5;10;10;19;0;2;0;0
18;171217;Nantes;Angers;1;0;H;1;0;H;10;7;4;0;3;6;9;15;3;2;1;0
18;171217;Nice;Bordeaux;1;0;H;1;0;H;11;10;3;1;2;4;10;15;1;2;0;0
19;201217;Amiens;Nantes;0;1;A;0;0;D;12;14;5;5;5;2;17;13;3;2;0;0
19;201217;Angers;Dijon;2;1;H;1;1;D;24;16;11;3;7;3;16;18;3;4;0;1
19;201217;Bordeaux;Montpellier;0;2;A;0;0;D;8;14;1;6;4;2;14;13;3;3;0;0
19;201217;Guingamp;St Etienne;2;1;H;0;0;D;27;3;6;3;10;0;13;13;3;2;0;1
